gene set	gene
2HXICDH	AC5u0009GL000468
2HXICDH	AC5u0009GL000611
2HXICDH	AC5u0009GL001170
AALDH	AC5u0009GL001122
AALDH	AC5u0009GL002010
ABTA	AC5u0009GL000606
ACACT1r	AC5u0009GL000410
ACALD	AC5u0009GL000754
ACBIPGT	AC5u0009GL001878
ACCOAC	AC5u0009GL000222
ACCOAC	AC5u0009GL000223
ACCOAC	AC5u0009GL000224
ACCOAC	AC5u0009GL000226
ACCOAC	AC5u0009GL001601
ACHBS	AC5u0009GL000907
ACKr	AC5u0009GL000624
ACKr	AC5u0009GL001911
ACKr	AC5u0009GL002172
ACLDC	AC5u0009GL000906
ACLS	AC5u0009GL000907
ACOTA	AC5u0009GL000615
ACOTA	AC5u0009GL000799
ACPS2	AC5u0009GL000373
ACTD	AC5u0009GL000322
ACTPASE	AC5u0009GL000078
ADA	AC5u0009GL000758
ADCOBAPS	AC5u0009GL001900
ADCPS1	AC5u0009GL001900
ADEADOCBLPP	AC5u0009GL001876
ADEADOCBLS	AC5u0009GL001877
ADK1	AC5u0009GL000309
ADOCBIK	AC5u0009GL001878
ADPDS	AC5u0009GL001358
ADPRDP	AC5u0009GL001344
ADPT	AC5u0009GL000386
ADPT	AC5u0009GL001821
ADPTA	AC5u0009GL000055
ADPTA	AC5u0009GL000419
ADPTA	AC5u0009GL001361
ADPTA	AC5u0009GL001591
ADSL1r	AC5u0009GL000898
ADSL2r	AC5u0009GL000898
ADSS	AC5u0009GL000394
AGAT_LRE	AC5u0009GL000205
AHCYSNS	AC5u0009GL001346
AHMMPS	AC5u0009GL001190
AICART	AC5u0009GL000890
AIRC	AC5u0009GL000325
AIRC	AC5u0009GL000899
AIRC	AC5u0009GL000900
ALALAC	AC5u0009GL000096
ALAR	AC5u0009GL000374
ALATRS	AC5u0009GL000651
ALATRS	AC5u0009GL002145
ALA_Lt6	AC5u0009GL001042
ALA_Lt6	AC5u0009GL001664
ALCD19	AC5u0009GL000790
ALCD19_D	AC5u0009GL000399
ALCD19_L	AC5u0009GL000399
ALCD23x	AC5u0009GL001912
ALCD2x	AC5u0009GL000754
ALCD2x	AC5u0009GL000790
ALCD2x	AC5u0009GL001289
ALCD2x	AC5u0009GL001680
ALCD2x	AC5u0009GL001858
ALCD3	AC5u0009GL001517
ALCD3	AC5u0009GL001912
ALDD2x	AC5u0009GL000754
ALDD8x	AC5u0009GL000754
ALKP	AC5u0009GL000964
ALKP	AC5u0009GL001481
ALKP	AC5u0009GL002025
ALR2	AC5u0009GL001480
ALR4x	AC5u0009GL001480
AMAA	AC5u0009GL001126
AMAA	AC5u0009GL002096
AMAA	AC5u0009GL001418
AMMQT7	AC5u0009GL001463
AMMQT8_2	AC5u0009GL001463
AP4AH	AC5u0009GL001465
APAT	AC5u0009GL001357
APPLDHr	AC5u0009GL001480
APRAUR	AC5u0009GL001777
ARABRr	AC5u0009GL000399
ARGDI	AC5u0009GL000127
ARGORNt3	AC5u0009GL000124
ARGORNt3	AC5u0009GL000125
ARGORNt3	AC5u0009GL001158
ARGORNt3	AC5u0009GL001437
ARGORNt3	AC5u0009GL001438
ARGORNt3	AC5u0009GL001484
ARGSL	AC5u0009GL001603
ARGSS	AC5u0009GL001604
ARGTRS	AC5u0009GL000842
ARGTRS	AC5u0009GL001073
ARGabc	AC5u0009GL000164
ARGabc	AC5u0009GL000165
ARGabc	AC5u0009GL000668
ARGabc	AC5u0009GL000669
ARGabc	AC5u0009GL000728
ARGabc	AC5u0009GL001233
ARGabc	AC5u0009GL001666
ARGabc	AC5u0009GL001684
ARGabc	AC5u0009GL001685
ARGabc	AC5u0009GL001849
ARGabc	AC5u0009GL002127
ARGabc	AC5u0009GL002128
ARGt2	AC5u0009GL000124
ASAD	AC5u0009GL001362
ASNN	AC5u0009GL000465
ASNS1	AC5u0009GL000573
ASNS2	AC5u0009GL000452
ASNTRS	AC5u0009GL000453
ASPCT	AC5u0009GL001497
ASPK	AC5u0009GL001355
ASPR	AC5u0009GL000716
ASPTA	AC5u0009GL000780
ASPTA2	AC5u0009GL000780
ASPTA4	AC5u0009GL000780
ASPTA5	AC5u0009GL000055
ASPTA5	AC5u0009GL000419
ASPTA5	AC5u0009GL000780
ASPTA5	AC5u0009GL001361
ASPTA5	AC5u0009GL001591
ASPTA5	AC5u0009GL001902
ASPTA6	AC5u0009GL000055
ASPTA6	AC5u0009GL000419
ASPTA6	AC5u0009GL000780
ASPTA6	AC5u0009GL001361
ASPTA6	AC5u0009GL001591
ASPTA6	AC5u0009GL001902
ASPTRS	AC5u0009GL000166
ATPM	AC5u0009GL001532
ATPS3r	AC5u0009GL000103
ATPS3r	AC5u0009GL000104
ATPS3r	AC5u0009GL000105
ATPS3r	AC5u0009GL000106
ATPS3r	AC5u0009GL000107
ATPS3r	AC5u0009GL000108
ATPS3r	AC5u0009GL000110
BTDD_RR	AC5u0009GL000322
BTMAT1	AC5u0009GL000221
CBIA	AC5u0009GL001901
CBIAT	AC5u0009GL001903
CBIAT	AC5u0009GL001915
CBLAT	AC5u0009GL001903
CBLAT	AC5u0009GL001915
CBMKr	AC5u0009GL000143
CBPS	AC5u0009GL001182
CBPS	AC5u0009GL001183
CBPS	AC5u0009GL001529
CBPS	AC5u0009GL001530
CDPMEK	AC5u0009GL000589
CFAS180	AC5u0009GL000910
CHLabc	AC5u0009GL000914
CHLabc	AC5u0009GL000915
CHLabc	AC5u0009GL000916
CHLabc	AC5u0009GL002083
CHLt6	AC5u0009GL000918
CLPNS_LRE	AC5u0009GL000414
CLPNS_LRE	AC5u0009GL000415
CLPNS_LRE	AC5u0009GL002046
CMLDC	AC5u0009GL000883
COBALTt5	AC5u0009GL001488
COPREC2MT	AC5u0009GL001889
COPREC3MT	AC5u0009GL001893
COPREC4MT	AC5u0009GL001895
COPREC6MT	AC5u0009GL001896
COPREC6MT	AC5u0009GL001897
COPREC6R2	AC5u0009GL001892
COPRECI	AC5u0009GL001899
COPRECT	AC5u0009GL001894
COPRECT	AC5u0009GL001898
COPRECT2MT	AC5u0009GL001889
CPSS_LRE	AC5u0009GL001152
CPSS_LRE	AC5u0009GL001282
CPSS_LRE	AC5u0009GL001425
CPSS_LRE	AC5u0009GL001426
CPSS_LRE	AC5u0009GL001454
CPSS_LRE	AC5u0009GL001791
CPSS_LRE	AC5u0009GL001937
CSND	AC5u0009GL000758
CSND	AC5u0009GL000377
CTPS1__1	AC5u0009GL000571
CTPS1__1	AC5u0009GL000351
CTPS2	AC5u0009GL000367
CTPS2	AC5u0009GL000571
CTPS2	AC5u0009GL000351
CYSDabc	AC5u0009GL000165
CYSDabc	AC5u0009GL000668
CYSDabc	AC5u0009GL000727
CYSDabc	AC5u0009GL000728
CYSDabc	AC5u0009GL000729
CYSDabc	AC5u0009GL001233
CYSDabc	AC5u0009GL001666
CYSDabc	AC5u0009GL001685
CYSDabc	AC5u0009GL002128
CYSS	AC5u0009GL001444
CYSS	AC5u0009GL002043
CYSTGL	AC5u0009GL000726
CYSTL2	AC5u0009GL000726
CYSTRS	AC5u0009GL000736
CYSTS	AC5u0009GL001444
CYSTS	AC5u0009GL002043
CYSabc	AC5u0009GL000165
CYSabc	AC5u0009GL000668
CYSabc	AC5u0009GL000727
CYSabc	AC5u0009GL000728
CYSabc	AC5u0009GL000729
CYSabc	AC5u0009GL001233
CYSabc	AC5u0009GL001666
CYSabc	AC5u0009GL001685
CYSabc	AC5u0009GL002128
CYTB_B2	AC5u0009GL000676
CYTB_B2	AC5u0009GL000677
CYTB_B2	AC5u0009GL000678
CYTB_B2	AC5u0009GL000679
CYTB_B2	AC5u0009GL000680
CYTD	AC5u0009GL001387
CYTDK1	AC5u0009GL000071
CYTDK2	AC5u0009GL000071
CYTDK3	AC5u0009GL000071
CYTK1	AC5u0009GL001574
CYTK2	AC5u0009GL001574
Coabc	AC5u0009GL000316
Coabc	AC5u0009GL000317
Coabc	AC5u0009GL000318
Coabc	AC5u0009GL001885
Coabc	AC5u0009GL001886
Coabc	AC5u0009GL001887
Coabc	AC5u0009GL001888
Cut1	AC5u0009GL000138
DADA	AC5u0009GL000758
DADNK	AC5u0009GL001054
DADNK	AC5u0009GL001221
DAGGT_LRE	AC5u0009GL001144
DAGGT_LRE	AC5u0009GL001145
DAGK_LRE	AC5u0009GL000332
DAGK_LRE	AC5u0009GL001598
DALTAL	AC5u0009GL000368
DALTAL	AC5u0009GL000370
DALTAL	AC5u0009GL000371
DALTAL	AC5u0009GL000369
DAPDC	AC5u0009GL001356
DAPE	AC5u0009GL001354
DASYN_LRE	AC5u0009GL000196
DB4PS	AC5u0009GL000911
DB4PS	AC5u0009GL001775
DCYTD	AC5u0009GL001387
DDMAT5	AC5u0009GL000221
DEMAT4	AC5u0009GL000221
DGNSK	AC5u0009GL001054
DGNSK	AC5u0009GL001221
DHAt	AC5u0009GL001930
DHDPRy	AC5u0009GL001360
DHDPS	AC5u0009GL001359
DHFOR2	AC5u0009GL001566
DHFR	AC5u0009GL001566
DHFS	AC5u0009GL000674
DHFS	AC5u0009GL000849
DHFS	AC5u0009GL001065
DHFS	AC5u0009GL001066
DHFS	AC5u0009GL002122
DHNPA	AC5u0009GL001062
DHORD6	AC5u0009GL001495
DHORTS	AC5u0009GL001496
DHPPDA__1	AC5u0009GL001777
DHPS3	AC5u0009GL000847
DHPS3	AC5u0009GL001068
DINSK	AC5u0009GL001054
DINSK	AC5u0009GL001221
