Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
5-Formyltetrahydrofolate	3	-0.8418	0.56886	0.99207	0.8418	0.48503	0.99472	2.3447	0.8483	0.93431	1	1.4997	0.61477	0.87516	2	1.8112	0.85429	0.943
ADP	149	18.213	0.001996	0.095276	5.1812	0.95808	1	63.828	0.003992	0.068149	89	49.108	0.001996	0.061054	59	42.187	0.14571	0.42161
AMP	52	18.373	0.001996	0.095276	-14.11	1	1	25.806	0.82036	0.92339	40	24.516	0.43713	0.80403	12	8.9601	0.92615	0.99634
ATP	194	20.878	0.001996	0.095276	4.5654	0.98403	1	69.647	0.021956	0.18305	121	52.346	0.003992	0.07984	72	47.431	0.11976	0.37212
H+	368	5.8828	0.18363	0.58436	53.245	0.001996	0.044661	119.06	0.001996	0.043368	190	72.02	0.001996	0.061054	178	96.784	0.001996	0.057415
5,10-Methenyltetrahydrofolate	4	0.27764	0.40519	0.89266	-0.27764	0.64671	1	2.8831	0.87425	0.94701	2	2.2662	0.7525	0.93388	2	1.8112	0.85429	0.943
Phosphate	160	17.633	0.001996	0.095276	4.1998	0.98004	1	65.868	0.005988	0.089446	90	50.832	0.001996	0.061054	70	41.945	0.38523	0.63781
Thiamin	5	2.2177	0.31537	0.76804	-1.6971	0.71457	1	5.8266	0.71457	0.8493	2	6.4577	0.34531	0.72992	3	2.2494	0.9002	0.98476
Thiamine diphosphate	2	-0.12791	0.48303	0.95539	0.12791	0.53094	1	1.8837	0.83832	0.9298	1	1.2263	0.67066	0.87536	1	1.4377	0.71657	0.89161
D-Ribulose 5-phosphate	5	7.7654	0.081836	0.46876	-1.923	0.72655	1	13.117	0.21756	0.57141	3	13.347	0.081836	0.45271	2	4.3931	0.58084	0.78619
D-Xylulose 5-phosphate	2	-4.3331	0.81437	1	4.3331	0.25349	0.7174	3.9994	0.61477	0.84387	0	NA	NA	NA	2	3.9994	0.62076	0.81812
10-Formyltetrahydrofolate	5	6.6779	0.11377	0.51558	-6.6779	0.93214	1	8.2795	0.53293	0.80445	4	8.2527	0.35729	0.74915	1	2.0081	0.62874	0.81812
N-Formylmethionyl-tRNA	1	-2.285	0.70459	1	2.285	0.2994	0.78238	2.0081	0.61477	0.84387	0	NA	NA	NA	1	2.0081	0.62874	0.81812
L-Methionyl-tRNA (Met)	2	3.2014	0.22754	0.63702	-3.2014	0.78443	1	6.166	0.37725	0.69355	1	6.712	0.16567	0.6332	1	2.0081	0.62874	0.81812
5,6,7,8-Tetrahydrofolate	9	8.9448	0.06986	0.45256	-8.9448	0.97605	1	9.7817	0.6986	0.8493	8	9.6651	0.52894	0.87317	1	2.0081	0.62874	0.81812
D-4-Phosphopantothenate	2	-0.36635	0.499	0.96677	0.36635	0.51697	1	0.55777	0.93214	0.97284	1	0.03314	0.85429	0.93661	1	0.75567	0.80639	0.90858
N-((R)-4-Phosphopantothenoyl)-L-cysteine	1	0.69544	0.42715	0.92119	-0.69544	0.57485	1	0.03314	0.86627	0.94394	1	0.03314	0.85429	0.93661	0	NA	NA	NA
CDP	7	-0.66414	0.57685	0.99764	5.6543	0.34132	0.84855	14.29	0.24351	0.5859	3	8.8897	0.22355	0.67294	4	11.206	0.35529	0.60325
CMP	7	-1.0449	0.61277	1	1.0449	0.56886	1	5.4101	0.88024	0.94701	4	2.5247	0.90419	0.93661	3	5.3488	0.64072	0.82887
CO2	34	-10.159	0.98204	1	33.665	0.001996	0.044661	36.747	0.00998	0.12554	12	11.926	0.57884	0.87516	22	36.875	0.017964	0.1869
CTP	15	-5.6652	0.8503	1	12.411	0.21158	0.66735	17.818	0.3493	0.67237	7	6.1596	0.81836	0.93661	8	18.637	0.1996	0.48081
L-Cysteine	20	17.613	0.003992	0.16813	-5.7933	0.96407	1	28.864	0.041916	0.26682	15	25.278	0.00998	0.15264	5	13.946	0.28144	0.52199
Pantetheine 4-phosphate	3	-0.24618	0.51896	0.97271	0.24618	0.52295	1	-0.38367	0.98004	0.9925	2	-1.0042	0.99002	0.99576	1	0.75567	0.80639	0.90858
Diphosphate	86	12.258	0.00998	0.20842	-1.6515	0.99002	1	38.108	0.55489	0.81989	54	30.092	0.24551	0.68339	31	25.232	0.57685	0.78355
