Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
((3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	3	5.1963	0.1477	0.70017	-5.1963	0.88423	1	4.7083	0.60878	0.80305	3	4.7083	0.58882	0.84666	0	NA	NA	NA
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	3	5.1963	0.1477	0.70017	-5.1963	0.88423	1	4.7083	0.60878	0.80305	3	4.7083	0.58882	0.84666	0	NA	NA	NA
(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein] hydro-lyase	3	5.1963	0.1477	0.70017	-5.1963	0.88423	1	4.7083	0.60878	0.80305	3	4.7083	0.58882	0.84666	0	NA	NA	NA
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	3	5.1963	0.1477	0.70017	-5.1963	0.88423	1	4.7083	0.60878	0.80305	3	4.7083	0.58882	0.84666	0	NA	NA	NA
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
