Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
Alanine metabolism	2	-1.1732	0.58882	0.91091	1.1732	0.43713	0.86089	2.5711	0.7525	0.86424	1	0.88236	0.74251	0.93147	1	2.7537	0.52295	0.77565
Alanine, aspartate and glutamate metabolism	18	20.668	0.001996	0.041916	-0.99125	0.82635	0.96913	37.212	0.001996	0.012575	12	33.751	0.001996	0.027944	6	16.723	0.17964	0.4736
Amino sugar and nucleotide sugar metabolism	6	1.2749	0.38723	0.76235	-1.2749	0.71657	0.9213	5.5946	0.83832	0.91008	4	3.8746	0.82036	0.9372	2	4.2106	0.59681	0.79196
Aminoacyl-tRNA biosynthesis	22	12.546	0.013972	0.17605	-12.546	1	1	12.019	0.95609	0.97759	19	13.068	0.75848	0.93147	3	-0.33877	0.99401	0.99401
Aminobenzoate degradation	3	1.418	0.3513	0.73772	-1.418	0.67066	0.88024	6.2198	0.50299	0.73694	2	4.5555	0.47305	0.82647	1	4.3305	0.35928	0.63146
Arginine and proline metabolism	1	3.1981	0.22754	0.57341	-3.1981	0.77645	0.95914	2.9925	0.44511	0.71902	1	2.9925	0.47505	0.82647	0	NA	NA	NA
Arginine biosynthesis	9	13.909	0.011976	0.17605	10.509	0.21956	0.69162	46.827	0.001996	0.012575	5	31.944	0.001996	0.027944	4	34.526	0.001996	0.014471
Benzoate degradation	2	-2.3775	0.66467	0.95169	2.3775	0.36926	0.86089	1.4092	0.87226	0.91587	0	NA	NA	NA	2	1.4092	0.89421	0.91396
Biotin metabolism	1	6.3314	0.10978	0.40519	-6.3314	0.89222	0.96913	6.2236	0.21357	0.44405	1	6.2236	0.22355	0.5443	0	NA	NA	NA
Butanoate metabolism	5	-7.4874	0.92216	1	13.33	0.10778	0.48503	12.77	0.26547	0.5068	0	NA	NA	NA	5	12.77	0.34731	0.62949
Cysteine and methionine metabolism	18	6.0191	0.14571	0.46707	9.7534	0.2994	0.8226	24.624	0.06986	0.20577	10	18.659	0.085828	0.3004	8	16.074	0.29741	0.58656
Energy metabolism	1	-2.4411	0.69261	0.96225	2.4411	0.30938	0.8226	2.1797	0.55289	0.74111	0	NA	NA	NA	1	2.1797	0.5988	0.79196
Fatty acid metabolism	14	6.8278	0.095808	0.40519	-2.5033	0.87824	0.96913	17.249	0.35928	0.61175	10	12.075	0.43912	0.82647	4	13.177	0.22954	0.51024
Folate biosynthesis	17	-0.0034812	0.499	0.87325	6.6227	0.44311	0.86089	17.528	0.46707	0.73563	10	9.2022	0.72854	0.93147	7	16.316	0.22555	0.51024
Fructose and mannose metabolism	8	12.943	0.01996	0.17964	-8.3244	0.96806	0.9998	17.494	0.14571	0.35306	6	17.467	0.041916	0.17565	2	4.7358	0.53493	0.77565
Galactose metabolism	14	-15.913	0.998	1	40.354	0.001996	0.020958	34.434	0.001996	0.012575	5	3.7661	0.87026	0.9372	9	40.139	0.001996	0.014471
Glutathione metabolism	2	7.0368	0.093812	0.40519	9.2376	0.16367	0.64446	26.157	0.003992	0.022863	1	18.123	0.023952	0.16145	1	18.868	0.03992	0.17811
Glycerolipid metabolism	22	-9.4041	0.97206	1	29.509	0.003992	0.035928	38.082	0.001996	0.012575	11	7.8488	0.85429	0.9372	11	46.007	0.001996	0.014471
Glycerophospholipid metabolism	5	-1.4205	0.59281	0.91091	1.4205	0.52495	0.86089	5.3179	0.75449	0.86424	2	2.9718	0.67265	0.93147	3	4.439	0.72455	0.91356
Glycine, serine and threonine metabolism	13	9.56	0.047904	0.33533	-4.9742	0.92615	0.98713	17.532	0.3014	0.54251	9	15.369	0.14571	0.42946	4	8.553	0.47904	0.74945
Glycolysis / Gluconeogenesis	34	-16.066	1	1	43.151	0.001996	0.020958	45.324	0.001996	0.012575	11	9.9295	0.67665	0.93147	23	48.239	0.001996	0.014471
Glyoxylate and dicarboxylate metabolism	3	-3.6967	0.73852	0.97193	3.6967	0.37325	0.86089	2.6504	0.8523	0.91008	0	NA	NA	NA	3	2.6504	0.86826	0.91396
Histidine metabolism	1	1.7651	0.33733	0.73281	-1.7651	0.66667	0.88024	1.4217	0.65868	0.8222	1	1.4217	0.67066	0.93147	0	NA	NA	NA
Inositol phosphate metabolism	4	0.97477	0.42515	0.78778	-0.97477	0.63074	0.87477	7.376	0.51697	0.7402	3	4.62	0.59281	0.92216	1	6.75	0.22954	0.51024
Lipoic acid metabolism	2	-5.6734	0.8982	1	14.911	0.065868	0.37725	8.5188	0.21158	0.44405	1	-1.0467	0.96806	0.96806	1	13.094	0.083832	0.28299
Lysine biosynthesis	15	19.897	0.001996	0.041916	-15.333	1	1	27.073	0.051896	0.17208	10	28.914	0.001996	0.027944	5	6.0011	0.80639	0.91396
Nicotinate and Nicotinamide metabolism	8	-0.32547	0.53293	0.90743	9.8911	0.21158	0.69162	15.929	0.20559	0.44405	5	7.2529	0.53892	0.86228	3	16.649	0.087824	0.28299
Nicotinate and nicotinamide metabolism	10	-5.8618	0.88423	1	14.124	0.0998	0.48365	13.123	0.48104	0.73694	3	2.9757	0.78643	0.93147	7	13.737	0.37924	0.64694
Nitrogen metabolism	5	-18.357	1	1	47.569	0.001996	0.020958	35.438	0.001996	0.012575	0	NA	NA	NA	5	35.438	0.001996	0.014471
One carbon pool by folate	8	4.5675	0.21557	0.57341	-4.5675	0.87824	0.96913	7.7987	0.76846	0.86452	5	7.8211	0.48703	0.82647	3	2.6382	0.87026	0.91396
Pantothenate and CoA biosynthesis	6	7.9099	0.083832	0.40519	-6.8596	0.94012	0.98713	7.5068	0.67864	0.8222	5	7.8854	0.48104	0.82647	1	0.75567	0.82036	0.91396
Pentose and glucuronate interconversions	5	6.2353	0.11577	0.40519	0.88292	0.54691	0.86138	15.04	0.15369	0.35862	4	10.608	0.18563	0.49501	1	12.413	0.0998	0.30465
Pentose phosphate pathway	14	-3.4813	0.74052	0.97193	14.718	0.11577	0.48623	21.91	0.0998	0.26198	8	6.2361	0.8523	0.9372	6	26.267	0.015968	0.084195
