gene set	gene
(3R)-3-Hydroxyacyl-[acyl-carrier protein][c] => But-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000225
(3R)-3-Hydroxyacyl-[acyl-carrier protein][c] => But-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000233
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein][c] => But-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000225
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein][c] => But-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000233
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein][c] => But-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL001030
(3R)-3-Hydroxydecanoyl-[acyl-carrier protein][c] => trans-Dec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000225
(3R)-3-Hydroxydecanoyl-[acyl-carrier protein][c] => trans-Dec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000233
(3R)-3-Hydroxydecanoyl-[acyl-carrier protein][c] => trans-Dec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL001030
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein[c] => trans-Octadec-2-enoyl-[acyl-carrier-protein][c] + H2O[c]	AC5u0009GL000225
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein[c] => trans-Octadec-2-enoyl-[acyl-carrier-protein][c] + H2O[c]	AC5u0009GL000233
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein[c] => trans-Octadec-2-enoyl-[acyl-carrier-protein][c] + H2O[c]	AC5u0009GL001030
(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein][c] => trans-Hexadec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000225
(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein][c] => trans-Hexadec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000233
(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein][c] => trans-Hexadec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL001030
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein][c] => trans-Tetradec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000225
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein][c] => trans-Tetradec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000233
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein][c] => trans-Tetradec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL001030
(R)-3-Hydroxydecanoyl-[acyl-carrier protein][c] => H2O[c] + Trans-Dec-2-enoyl-[acyl-carrier protein][c]	AC5u0009GL000225
(R)-3-Hydroxydecanoyl-[acyl-carrier protein][c] => H2O[c] + Trans-Dec-2-enoyl-[acyl-carrier protein][c]	AC5u0009GL000233
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein][c] => H2O[c] + Trans-Dodec-2-enoyl-[acyl-carrier protein][c]	AC5u0009GL000225
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein][c] => H2O[c] + Trans-Dodec-2-enoyl-[acyl-carrier protein][c]	AC5u0009GL000233
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein][c] => trans-Dodec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000225
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein][c] => trans-Dodec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL000233
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein][c] => trans-Dodec-2-enoyl-[acyl-carrier protein][c] + H2O[c]	AC5u0009GL001030
(R)-3-Hydroxyhexanoyl-[acp][c] => trans-Hex-2-enoyl-[acp][c] + H2O[c]	AC5u0009GL000225
(R)-3-Hydroxyhexanoyl-[acp][c] => trans-Hex-2-enoyl-[acp][c] + H2O[c]	AC5u0009GL000233
(R)-3-Hydroxyhexanoyl-[acp][c] => trans-Hex-2-enoyl-[acp][c] + H2O[c]	AC5u0009GL001030
(R)-3-Hydroxyhexanoyl-[acyl-carrier protein][c] => H2O[c] + Trans-Hex-2-enoyl-[acyl-carrier protein][c]	AC5u0009GL000225
(R)-3-Hydroxyhexanoyl-[acyl-carrier protein][c] => H2O[c] + Trans-Hex-2-enoyl-[acyl-carrier protein][c]	AC5u0009GL000233
(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein][c] => H2O[c] + Trans-octadec-2-enoyl-[acyl-carrier protein][c]	AC5u0009GL000225
