gene set	gene
5-Formyltetrahydrofolate	AC5u0009GL000018
5-Formyltetrahydrofolate	AC5u0009GL000116
5-Formyltetrahydrofolate	AC5u0009GL000065
ADP	AC5u0009GL000018
ADP	AC5u0009GL000028
ADP	AC5u0009GL000057
ADP	AC5u0009GL000061
ADP	AC5u0009GL000071
ADP	AC5u0009GL000096
ADP	AC5u0009GL000103
ADP	AC5u0009GL000104
ADP	AC5u0009GL000105
ADP	AC5u0009GL000106
ADP	AC5u0009GL000107
ADP	AC5u0009GL000108
ADP	AC5u0009GL000110
ADP	AC5u0009GL000120
ADP	AC5u0009GL000121
ADP	AC5u0009GL000138
ADP	AC5u0009GL000143
ADP	AC5u0009GL000164
ADP	AC5u0009GL000165
ADP	AC5u0009GL000185
ADP	AC5u0009GL000222
ADP	AC5u0009GL000223
ADP	AC5u0009GL000224
ADP	AC5u0009GL000226
ADP	AC5u0009GL000269
ADP	AC5u0009GL000270
ADP	AC5u0009GL000309
ADP	AC5u0009GL000316
ADP	AC5u0009GL000317
ADP	AC5u0009GL000318
ADP	AC5u0009GL000325
ADP	AC5u0009GL000329
ADP	AC5u0009GL000330
ADP	AC5u0009GL000331
ADP	AC5u0009GL000332
ADP	AC5u0009GL000365
ADP	AC5u0009GL000367
ADP	AC5u0009GL000368
ADP	AC5u0009GL000370
ADP	AC5u0009GL000371
ADP	AC5u0009GL000401
ADP	AC5u0009GL000571
ADP	AC5u0009GL000586
ADP	AC5u0009GL000587
ADP	AC5u0009GL000588
ADP	AC5u0009GL000589
ADP	AC5u0009GL000603
ADP	AC5u0009GL000612
ADP	AC5u0009GL000613
ADP	AC5u0009GL000614
ADP	AC5u0009GL000624
ADP	AC5u0009GL000645
ADP	AC5u0009GL000667
ADP	AC5u0009GL000668
ADP	AC5u0009GL000669
ADP	AC5u0009GL000674
ADP	AC5u0009GL000727
ADP	AC5u0009GL000728
ADP	AC5u0009GL000729
ADP	AC5u0009GL000755
ADP	AC5u0009GL000756
ADP	AC5u0009GL000763
ADP	AC5u0009GL000770
ADP	AC5u0009GL000778
ADP	AC5u0009GL000800
ADP	AC5u0009GL000820
ADP	AC5u0009GL000826
ADP	AC5u0009GL000828
ADP	AC5u0009GL000834
ADP	AC5u0009GL000843
ADP	AC5u0009GL000849
ADP	AC5u0009GL000889
ADP	AC5u0009GL000892
ADP	AC5u0009GL000894
ADP	AC5u0009GL000895
ADP	AC5u0009GL000897
ADP	AC5u0009GL000899
ADP	AC5u0009GL000900
ADP	AC5u0009GL000908
ADP	AC5u0009GL000914
ADP	AC5u0009GL000915
ADP	AC5u0009GL000916
ADP	AC5u0009GL000965
ADP	AC5u0009GL000982
ADP	AC5u0009GL001030
ADP	AC5u0009GL001054
ADP	AC5u0009GL001057
ADP	AC5u0009GL001065
ADP	AC5u0009GL001066
ADP	AC5u0009GL001072
ADP	AC5u0009GL001081
ADP	AC5u0009GL001087
ADP	AC5u0009GL001089
ADP	AC5u0009GL001095
ADP	AC5u0009GL001144
ADP	AC5u0009GL001182
ADP	AC5u0009GL001183
ADP	AC5u0009GL001217
ADP	AC5u0009GL001218
ADP	AC5u0009GL001221
ADP	AC5u0009GL001233
ADP	AC5u0009GL001234
ADP	AC5u0009GL001235
ADP	AC5u0009GL001236
ADP	AC5u0009GL001304
ADP	AC5u0009GL001305
ADP	AC5u0009GL001313
ADP	AC5u0009GL001314
ADP	AC5u0009GL001315
ADP	AC5u0009GL001316
ADP	AC5u0009GL001317
ADP	AC5u0009GL001333
ADP	AC5u0009GL001355
ADP	AC5u0009GL001365
ADP	AC5u0009GL001465
ADP	AC5u0009GL001478
ADP	AC5u0009GL001491
ADP	AC5u0009GL001529
ADP	AC5u0009GL001530
ADP	AC5u0009GL001543
ADP	AC5u0009GL001574
ADP	AC5u0009GL001585
