gene set	gene
((3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000225
((3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000233
((3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL001030
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase	AC5u0009GL000228
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase	AC5u0009GL000944
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000225
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000233
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL001030
(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000228
(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000944
(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000228
(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000944
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000225
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000233
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL001030
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000228
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000944
(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000228
(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000944
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000225
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL000233
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	AC5u0009GL001030
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000228
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000944
(R)-5,6-dihydrothymine:NAD+ oxidoreductase	AC5u0009GL001033
(R)-5,6-dihydrothymine:NAD+ oxidoreductase	AC5u0009GL001034
(R,R)-butanediol dehydrogenase	AC5u0009GL000322
1 4 dihydroxy 2 naphthoate octaprenyltransferase	AC5u0009GL002179
1,2-diacylglycerol 3-glucosyltransferase (LRE specific)	AC5u0009GL001144
1,2-diacylglycerol 3-glucosyltransferase (LRE specific)	AC5u0009GL001145
1,3-propanediol dehydrogenase	AC5u0009GL001517
1,4-dihydroxy-2-naphthoate octaprenyltransferase	AC5u0009GL002179
1,4-dihydroxy-2-naphthoyl-CoA hydrolase	AC5u0009GL001768
1-Acyl-glycerol-3-phosphate acyltransferase (Lb reuteri specific)	AC5u0009GL000205
1-deoxy-D-xylulose 5-phosphate synthase	AC5u0009GL000870
2 hydroxy 3 methylpentanoate dehydrogenase	AC5u0009GL000435
2 hydroxy 3 methylpentanoate dehydrogenase	AC5u0009GL000781
2,5-diketo-D-gluconate reductase	AC5u0009GL000399
2,5-diketo-D-gluconate reductase	AC5u0009GL000463
2,5-diketo-D-gluconate reductase	AC5u0009GL002037
2,5-diketo-D-gluconate reductase (NADH)	AC5u0009GL000399
2,5-diketo-D-gluconate reductase (NADH)	AC5u0009GL000463
2,5-diketo-D-gluconate reductase (NADH)	AC5u0009GL002037
2,5-diketo-D-gluconate reductase (NADPH)	AC5u0009GL000399
2,5-diketo-D-gluconate reductase (NADPH)	AC5u0009GL000463
2,5-diketo-D-gluconate reductase (NADPH)	AC5u0009GL002037
2,5-diketo-D-gluconate reductase (NADPH)	AC5u0009GL000462
2-aceto-2-hydroxybutanoate synthase	AC5u0009GL000907
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	AC5u0009GL001063
2-dehydropantoate 2-reductase	AC5u0009GL000435
2-dehydropantoate 2-reductase	AC5u0009GL000781
2-methylpropanol dehydrogenase	AC5u0009GL001912
3',5'-bisphosphate nucleotidase	AC5u0009GL001379
3,4-Dihydroxy-2-butanone-4-phosphate	AC5u0009GL000911
3,4-Dihydroxy-2-butanone-4-phosphate	AC5u0009GL001775
3-Oxo-glutaryl-[ACP] methyl ester dehydratase	AC5u0009GL000225
3-Oxo-glutaryl-[ACP] methyl ester dehydratase	AC5u0009GL000233
3-Oxo-glutaryl-[ACP] methyl ester reductase	AC5u0009GL000228
3-Oxo-pimeloyl-[ACP] methyl ester dehydratase	AC5u0009GL000225
3-Oxo-pimeloyl-[ACP] methyl ester dehydratase	AC5u0009GL000233
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	AC5u0009GL001661
3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	AC5u0009GL001661
3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	AC5u0009GL001661
3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	AC5u0009GL001661
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	AC5u0009GL000225
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	AC5u0009GL000233
