gene set	gene
Alanine metabolism	AC5u0009GL000096
Alanine metabolism	AC5u0009GL000374
Alanine, aspartate and glutamate metabolism	AC5u0009GL000057
Alanine, aspartate and glutamate metabolism	AC5u0009GL000367
Alanine, aspartate and glutamate metabolism	AC5u0009GL000400
Alanine, aspartate and glutamate metabolism	AC5u0009GL000452
Alanine, aspartate and glutamate metabolism	AC5u0009GL000573
Alanine, aspartate and glutamate metabolism	AC5u0009GL000606
Alanine, aspartate and glutamate metabolism	AC5u0009GL000716
Alanine, aspartate and glutamate metabolism	AC5u0009GL000780
Alanine, aspartate and glutamate metabolism	AC5u0009GL000988
Alanine, aspartate and glutamate metabolism	AC5u0009GL001182
Alanine, aspartate and glutamate metabolism	AC5u0009GL001183
Alanine, aspartate and glutamate metabolism	AC5u0009GL001497
Alanine, aspartate and glutamate metabolism	AC5u0009GL001521
Alanine, aspartate and glutamate metabolism	AC5u0009GL001529
Alanine, aspartate and glutamate metabolism	AC5u0009GL001530
Alanine, aspartate and glutamate metabolism	AC5u0009GL000688
Alanine, aspartate and glutamate metabolism	AC5u0009GL000689
Alanine, aspartate and glutamate metabolism 	AC5u0009GL000465
Amino sugar and nucleotide sugar metabolism	AC5u0009GL000584
Amino sugar and nucleotide sugar metabolism	AC5u0009GL000746
Amino sugar and nucleotide sugar metabolism	AC5u0009GL000772
Amino sugar and nucleotide sugar metabolism	AC5u0009GL000987
Amino sugar and nucleotide sugar metabolism	AC5u0009GL001165
Amino sugar and nucleotide sugar metabolism	AC5u0009GL001275
Aminoacyl-tRNA biosynthesis	AC5u0009GL000056
Aminoacyl-tRNA biosynthesis	AC5u0009GL000073
Aminoacyl-tRNA biosynthesis	AC5u0009GL000074
Aminoacyl-tRNA biosynthesis	AC5u0009GL000166
Aminoacyl-tRNA biosynthesis	AC5u0009GL000194
Aminoacyl-tRNA biosynthesis	AC5u0009GL000329
Aminoacyl-tRNA biosynthesis	AC5u0009GL000330
Aminoacyl-tRNA biosynthesis	AC5u0009GL000331
Aminoacyl-tRNA biosynthesis	AC5u0009GL000390
Aminoacyl-tRNA biosynthesis	AC5u0009GL000429
Aminoacyl-tRNA biosynthesis	AC5u0009GL000453
Aminoacyl-tRNA biosynthesis	AC5u0009GL000594
Aminoacyl-tRNA biosynthesis	AC5u0009GL000601
Aminoacyl-tRNA biosynthesis	AC5u0009GL000651
Aminoacyl-tRNA biosynthesis	AC5u0009GL000681
Aminoacyl-tRNA biosynthesis	AC5u0009GL000736
Aminoacyl-tRNA biosynthesis	AC5u0009GL000827
Aminoacyl-tRNA biosynthesis	AC5u0009GL000842
Aminoacyl-tRNA biosynthesis	AC5u0009GL000886
Aminoacyl-tRNA biosynthesis	AC5u0009GL001047
Aminoacyl-tRNA biosynthesis	AC5u0009GL001073
Aminoacyl-tRNA biosynthesis	AC5u0009GL001088
Aminoacyl-tRNA biosynthesis	AC5u0009GL001193
Aminoacyl-tRNA biosynthesis	AC5u0009GL001342
Aminoacyl-tRNA biosynthesis	AC5u0009GL001594
Aminoacyl-tRNA biosynthesis	AC5u0009GL001595
Aminoacyl-tRNA biosynthesis	AC5u0009GL001710
Aminoacyl-tRNA biosynthesis	AC5u0009GL002113
Aminoacyl-tRNA biosynthesis	AC5u0009GL002145
Aminobenzoate degradation	AC5u0009GL002089
Aminobenzoate degradation	AC5u0009GL000581
Aminobenzoate degradation	AC5u0009GL001752
Aminobenzoate degradation	AC5u0009GL000621
Aminobenzoate degradation	AC5u0009GL000639
Aminobenzoate degradation	AC5u0009GL002157
Aminobenzoate degradation	AC5u0009GL002175
Arginine and proline metabolism	AC5u0009GL000776
Arginine biosynthesis	AC5u0009GL000127
Arginine biosynthesis	AC5u0009GL000143
Arginine biosynthesis	AC5u0009GL000144
Arginine biosynthesis	AC5u0009GL000606
Arginine biosynthesis	AC5u0009GL000615
Arginine biosynthesis	AC5u0009GL000799
Arginine biosynthesis	AC5u0009GL001603
Arginine biosynthesis	AC5u0009GL001604
Arginine biosynthesis	AC5u0009GL001879
Benzoate degradation	AC5u0009GL000883
Benzoate degradation	AC5u0009GL001477
Biotin metabolism	AC5u0009GL001601
Butanoate metabolism	AC5u0009GL000322
Butanoate metabolism	AC5u0009GL000793
Butanoate metabolism	AC5u0009GL000906
Butanoate metabolism	AC5u0009GL000907
Butanoate metabolism	AC5u0009GL001661
Cysteine and methionine metabolism	AC5u0009GL000080
Cysteine and methionine metabolism	AC5u0009GL000401
Cysteine and methionine metabolism	AC5u0009GL000437
Cysteine and methionine metabolism	AC5u0009GL000439
Cysteine and methionine metabolism	AC5u0009GL000726
Cysteine and methionine metabolism	AC5u0009GL000780
Cysteine and methionine metabolism	AC5u0009GL001046
Cysteine and methionine metabolism	AC5u0009GL001346
Cysteine and methionine metabolism	AC5u0009GL001373
Cysteine and methionine metabolism	AC5u0009GL001392
Cysteine and methionine metabolism	AC5u0009GL001444
Cysteine and methionine metabolism	AC5u0009GL001491
Cysteine and methionine metabolism	AC5u0009GL002042
Cysteine and methionine metabolism	AC5u0009GL002043
Cysteine and methionine metabolism	AC5u0009GL001171
Cysteine and methionine metabolism	AC5u0009GL000051
Cysteine and methionine metabolism	AC5u0009GL000248
Cysteine and methionine metabolism	AC5u0009GL000913
Energy metabolism	AC5u0009GL000770
Fatty acid metabolism	AC5u0009GL000221
Fatty acid metabolism	AC5u0009GL000225
Fatty acid metabolism	AC5u0009GL000227
Fatty acid metabolism	AC5u0009GL000228
Fatty acid metabolism	AC5u0009GL000229
Fatty acid metabolism	AC5u0009GL000231
Fatty acid metabolism	AC5u0009GL000233
Fatty acid metabolism	AC5u0009GL000768
Fatty acid metabolism	AC5u0009GL000910
Fatty acid metabolism	AC5u0009GL000944
Fatty acid metabolism	AC5u0009GL001030
Fatty acid metabolism	AC5u0009GL001661
Fatty acid metabolism	AC5u0009GL000698
Fatty acid metabolism	AC5u0009GL002179
Folate biosynthesis	AC5u0009GL000674
Folate biosynthesis	AC5u0009GL000848
Folate biosynthesis	AC5u0009GL000849
Folate biosynthesis	AC5u0009GL000964
Folate biosynthesis	AC5u0009GL001062
Folate biosynthesis	AC5u0009GL001063
Folate biosynthesis	AC5u0009GL001064
Folate biosynthesis	AC5u0009GL001065
Folate biosynthesis	AC5u0009GL001066
Folate biosynthesis	AC5u0009GL001067
Folate biosynthesis	AC5u0009GL001481
Folate biosynthesis	AC5u0009GL001566
Folate biosynthesis	AC5u0009GL002122
Folate biosynthesis	AC5u0009GL000642
Folate biosynthesis	AC5u0009GL002154
Folate biosynthesis	AC5u0009GL000847
Folate biosynthesis	AC5u0009GL001068
Folate biosynthesis	AC5u0009GL002025
Folate biosynthesis	AC5u0009GL000251
Folate biosynthesis	AC5u0009GL000253
Folate biosynthesis	AC5u0009GL000262
Folate biosynthesis	AC5u0009GL001950
Folate biosynthesis	AC5u0009GL001952
Folate biosynthesis	AC5u0009GL000692
Fructose and mannose metabolism	AC5u0009GL000802
Fructose and mannose metabolism	AC5u0009GL001852
Fructose and mannose metabolism	AC5u0009GL002062
Fructose and mannose metabolism	AC5u0009GL002089
Fructose and mannose metabolism	AC5u0009GL002012
Fructose and mannose metabolism	AC5u0009GL000581
Fructose and mannose metabolism	AC5u0009GL001746
Fructose and mannose metabolism	AC5u0009GL001752
Fructose and mannose metabolism	AC5u0009GL000639
Fructose and mannose metabolism	AC5u0009GL002157
Galactose metabolism	AC5u0009GL000722
Galactose metabolism	AC5u0009GL000772
Galactose metabolism	AC5u0009GL000794
Galactose metabolism	AC5u0009GL000933
Galactose metabolism	AC5u0009GL001430
Galactose metabolism	AC5u0009GL001744
Galactose metabolism	AC5u0009GL002027
Galactose metabolism	AC5u0009GL002028
Galactose metabolism	AC5u0009GL002089
Galactose metabolism	AC5u0009GL000581
Galactose metabolism	AC5u0009GL000721
Galactose metabolism	AC5u0009GL001150
Galactose metabolism	AC5u0009GL001448
Galactose metabolism	AC5u0009GL001797
Galactose metabolism 	AC5u0009GL001427
Galactose metabolism 	AC5u0009GL001456
Glutamine and glutamate metabolism	AC5u0009GL000643
Glutamine and glutamate metabolism	AC5u0009GL002153
Glutathione metabolism	AC5u0009GL000401
Glutathione metabolism	AC5u0009GL000277
Glycerolipid metabolism	AC5u0009GL000205
Glycerolipid metabolism	AC5u0009GL000332
Glycerolipid metabolism	AC5u0009GL000399
Glycerolipid metabolism	AC5u0009GL000754
Glycerolipid metabolism	AC5u0009GL000790
Glycerolipid metabolism	AC5u0009GL000931
Glycerolipid metabolism	AC5u0009GL001144
Glycerolipid metabolism	AC5u0009GL001145
Glycerolipid metabolism	AC5u0009GL001224
Glycerolipid metabolism	AC5u0009GL001365
Glycerolipid metabolism	AC5u0009GL001478
Glycerolipid metabolism	AC5u0009GL001480
Glycerolipid metabolism	AC5u0009GL001481
Glycerolipid metabolism	AC5u0009GL001517
Glycerolipid metabolism	AC5u0009GL001598
Glycerolipid metabolism	AC5u0009GL001922
Glycerolipid metabolism	AC5u0009GL001923
Glycerolipid metabolism	AC5u0009GL001924
Glycerolipid metabolism	AC5u0009GL001925
Glycerolipid metabolism	AC5u0009GL001926
Glycerolipid metabolism	AC5u0009GL000013
Glycerolipid metabolism	AC5u0009GL001555
Glycerolipid metabolism	AC5u0009GL000621
Glycerolipid metabolism	AC5u0009GL000639
Glycerolipid metabolism	AC5u0009GL002157
Glycerolipid metabolism	AC5u0009GL002175
Glycerophospholipid metabolism	AC5u0009GL000196
Glycerophospholipid metabolism	AC5u0009GL000398
Glycerophospholipid metabolism	AC5u0009GL000663
Glycerophospholipid metabolism	AC5u0009GL000793
Glycerophospholipid metabolism	AC5u0009GL000931
Glycerophospholipid metabolism	AC5u0009GL002133
Glycine, serine and threonine metabolism	AC5u0009GL000116
Glycine, serine and threonine metabolism	AC5u0009GL001355
Glycine, serine and threonine metabolism	AC5u0009GL001357
Glycine, serine and threonine metabolism	AC5u0009GL001362
Glycine, serine and threonine metabolism	AC5u0009GL001444
Glycine, serine and threonine metabolism	AC5u0009GL001471
Glycine, serine and threonine metabolism	AC5u0009GL001472
Glycine, serine and threonine metabolism	AC5u0009GL001480
Glycine, serine and threonine metabolism	AC5u0009GL002043
Glycine, serine and threonine metabolism	AC5u0009GL000902
Glycine, serine and threonine metabolism	AC5u0009GL000901
Glycine, serine and threonine metabolism	AC5u0009GL000903
Glycine, serine and threonine metabolism	AC5u0009GL001259
Glycolysis / Gluconeogenesis	AC5u0009GL000061
Glycolysis / Gluconeogenesis	AC5u0009GL000149
Glycolysis / Gluconeogenesis	AC5u0009GL000359
Glycolysis / Gluconeogenesis	AC5u0009GL000360
Glycolysis / Gluconeogenesis	AC5u0009GL000361
Glycolysis / Gluconeogenesis	AC5u0009GL000724
Glycolysis / Gluconeogenesis	AC5u0009GL000802
Glycolysis / Gluconeogenesis	AC5u0009GL000888
Glycolysis / Gluconeogenesis	AC5u0009GL000936
Glycolysis / Gluconeogenesis	AC5u0009GL000959
Glycolysis / Gluconeogenesis	AC5u0009GL000964
Glycolysis / Gluconeogenesis	AC5u0009GL000982
Glycolysis / Gluconeogenesis	AC5u0009GL001030
Glycolysis / Gluconeogenesis	AC5u0009GL001057
Glycolysis / Gluconeogenesis	AC5u0009GL001350
Glycolysis / Gluconeogenesis	AC5u0009GL001374
Glycolysis / Gluconeogenesis	AC5u0009GL001375
Glycolysis / Gluconeogenesis	AC5u0009GL001376
Glycolysis / Gluconeogenesis	AC5u0009GL001377
Glycolysis / Gluconeogenesis	AC5u0009GL001481
Glycolysis / Gluconeogenesis	AC5u0009GL001483
Glycolysis / Gluconeogenesis	AC5u0009GL001585
Glycolysis / Gluconeogenesis	AC5u0009GL001869
Glycolysis / Gluconeogenesis	AC5u0009GL001870
Glycolysis / Gluconeogenesis	AC5u0009GL001871
Glycolysis / Gluconeogenesis	AC5u0009GL001872
Glycolysis / Gluconeogenesis	AC5u0009GL001908
Glycolysis / Gluconeogenesis	AC5u0009GL002089
Glycolysis / Gluconeogenesis	AC5u0009GL000357
Glycolysis / Gluconeogenesis	AC5u0009GL002025
Glycolysis / Gluconeogenesis	AC5u0009GL001752
