Rxn name	Formula	Gene-reaction association	LB	UB	Objective
QUIND	pqqox_c + quin_c  -> 3dhq_c + h_c + pqqrd_c 	AC5u0009GL000942	  0.00	1000.00	  0.00
ALATRS	ala__L_c + atp_c + trnaala_c  -> alatrna_c + amp_c + ppi_c 	AC5u0009GL000651 or AC5u0009GL002145	  0.00	1000.00	  0.00
SDPDS	h2o_c + sl26da_c  -> 26dap_LL_c + succ_c 	AC5u0009GL000615 or AC5u0009GL001436 or AC5u0009GL001051 or AC5u0009GL000799	  0.00	1000.00	  0.00
ALDD2x	acald_c + h2o_c + nad_c  -> ac_c + 2 h_c + nadh_c 	AC5u0009GL000754	  0.00	1000.00	  0.00
G6PI	g6p_c  <=> g6p_B_c 	AC5u0009GL000149	-1000.00	1000.00	  0.00
ADSS	asp__L_c + gtp_c + imp_c  -> dcamp_c + gdp_c + 2 h_c + pi_c 	AC5u0009GL000394	  0.00	1000.00	  0.00
PRPPS	atp_c + r5p_c  <=> amp_c + h_c + prpp_c 	AC5u0009GL000583 or AC5u0009GL001353	-1000.00	1000.00	  0.00
ASNTRS	asn__L_c + atp_c + trnaasn_c  -> amp_c + asntrna_c + ppi_c 	AC5u0009GL000453	  0.00	1000.00	  0.00
TMDS	dump_c + mlthf_c  -> dhf_c + dtmp_c 	AC5u0009GL001567	  0.00	1000.00	  0.00
DTMPK	atp_c + dtmp_c  -> adp_c + dtdp_c 	AC5u0009GL000763	  0.00	1000.00	  0.00
SSALy	h2o_c + nadp_c + sucsal_c  -> 2 h_c + nadph_c + succ_c 	AC5u0009GL001521	  0.00	1000.00	  0.00
Coabc	atp_c + cobalt2_e + h2o_c  -> adp_c + cobalt2_c + h_c + pi_c 	AC5u0009GL001887 or AC5u0009GL001885 or AC5u0009GL000316 or AC5u0009GL000317 or AC5u0009GL001886 or AC5u0009GL000318 or AC5u0009GL001888	  0.00	1000.00	  0.00
HDER4	3oxdeacp_c + h_c + nadph_c  -> 3hdeacp_c + nadp_c 	AC5u0009GL000944 or AC5u0009GL000228	  0.00	1000.00	  0.00
DRIBt2	drib_e + h_e  -> drib_c + h_c 	AC5u0009GL000984	  0.00	1000.00	  0.00
ASNN	asn__L_c + h2o_c  -> asp__L_c + nh4_c 	AC5u0009GL000465	  0.00	1000.00	  0.00
DAGK_LRE	atp_c + dag_LRE_c  -> adp_c + h_c + pa_LRE_c 	AC5u0009GL001598 or AC5u0009GL000332	  0.00	1000.00	  0.00
GLYBt6	glyb_e + h_e  <=> glyb_c + h_c 	AC5u0009GL000918	-1000.00	1000.00	  0.00
LYSt6	h_e + lys__L_e  <=> h_c + lys__L_c 	AC5u0009GL001222	-1000.00	1000.00	  0.00
PUNP1	adn_c + pi_c  <=> ade_c + r1p_c 	AC5u0009GL001505	-1000.00	1000.00	  0.00
CTPS2	atp_c + gln__L_c + h2o_c + utp_c  -> adp_c + ctp_c + glu__L_c + 2 h_c + pi_c 	AC5u0009GL000571 or AC5u0009GL000351 or AC5u0009GL000367	  0.00	1000.00	  0.00
PYRZAM	h2o_c + malm_c  -> male_c + nh4_c 	AC5u0009GL000346	  0.00	1000.00	  0.00
ACLS	h_c + 2 pyr_c  -> alac__S_c + co2_c 	AC5u0009GL000907	  0.00	1000.00	  0.00
OCDMAT8	2tocdacp_c + h_c + nadh_c  -> nad_c + ocdacp_c 	AC5u0009GL000221	  0.00	1000.00	  0.00
GLUt6	glu__L_e + h_e  <=> glu__L_c + h_c 	AC5u0009GL002024	-1000.00	1000.00	  0.00
G35DP	ppgpp_c + h2o_c  -> gdp_c + ppi_c 	AC5u0009GL000169	  0.00	1000.00	  0.00
GLYCK	atp_c + glyc__R_c  -> 3pg_c + adp_c + h_c 	AC5u0009GL001365	  0.00	1000.00	  0.00
HTDR6	3oxtdacp_c + h_c + nadph_c  -> 3htdacp_c + nadp_c 	AC5u0009GL000944 or AC5u0009GL000228	  0.00	1000.00	  0.00
PUNP5	ins_c + pi_c  <=> hxan_c + r1p_c 	AC5u0009GL001505	-1000.00	1000.00	  0.00
ARGTRS	arg__L_c + atp_c + trnaarg_c  -> amp_c + argtrna_c + ppi_c 	AC5u0009GL000842 or AC5u0009GL001073	  0.00	1000.00	  0.00
FA181ACPH	h2o_c + octeACP_c  <=> ACP_c + h_c + ocdcea_c 	AC5u0009GL000768	-1000.00	1000.00	  0.00
PGPP_LRE	h2o_c + pgp_LRE_c  -> pg_LRE_c + pi_c 	AC5u0009GL000931	  0.00	1000.00	  0.00
GTPDPK	atp_c + gtp_c  -> amp_c + gdptp_c + h_c 	AC5u0009GL000405 or AC5u0009GL001811 or AC5u0009GL000169	  0.00	1000.00	  0.00
GALS3	h2o_c + melib_c  -> gal_c + glc__D_c 	AC5u0009GL000933 or AC5u0009GL001744	  0.00	1000.00	  0.00
PPN13D	13ppd_c + nad_c  <=> 3hppnl_c + h_c + nadh_c 	AC5u0009GL001517	-1000.00	1000.00	  0.00
PUNP7	pi_c + xtsn_c  <=> r1p_c + xan_c 	AC5u0009GL001505	-1000.00	1000.00	  0.00
FA180ACPH	h2o_c + ocdcaACP_c  <=> ACP_c + h_c + ocdca_c 	AC5u0009GL000768	-1000.00	1000.00	  0.00
SHCHD2	nad_c + shcl_c  -> h_c + nadh_c + srch_c 	AC5u0009GL001883	  0.00	1000.00	  0.00
APAT	accoa_c + h2o_c + thdp_c  <=> acamoxm_c + coa_c 	AC5u0009GL001357	-1000.00	1000.00	  0.00
DNTPPA	ahdt_c + h2o_c  -> dhpmp_c + h_c + ppi_c 	AC5u0009GL000848 or AC5u0009GL001067	  0.00	1000.00	  0.00
PPCDC	4ppcys_c + h_c  -> co2_c + pan4p_c 	AC5u0009GL000026	  0.00	1000.00	  0.00
MCMAT3	h_c + hexACP_c + malACP_c  -> 3oxocacp_c + ACP_c + co2_c 	AC5u0009GL000227	  0.00	1000.00	  0.00
OCBT	cbp_c + orn__L_c  <=> citr__L_c + h_c + pi_c 	AC5u0009GL000144	-1000.00	1000.00	  0.00
ADPTA	akg_c + n6all26d + h_c  <=> acamoxm_c + glu__L_c 	AC5u0009GL000055 or AC5u0009GL000419 or AC5u0009GL001361 or AC5u0009GL001591	-1000.00	1000.00	  0.00
PRFGS	atp_c + fgam_c + gln__L_c + h2o_c  -> adp_c + fpram_c + glu__L_c + h_c + pi_c 	AC5u0009GL000894 or AC5u0009GL000895	  0.00	1000.00	  0.00
PAPPT5	udcpp_c + ugmdalac_c  -> uagmdalac_c + ump_c 	AC5u0009GL001332	  0.00	1000.00	  0.00
FCLT	fe2_c + ppp9_c  -> 2 h_c + pheme_c 	AC5u0009GL001301	  0.00	1000.00	  0.00
DEMAT4	2tdeacp_c + h_c + nadh_c  -> decacp_c + nad_c 	AC5u0009GL000221	  0.00	1000.00	  0.00
DAPDC	26dap_M_c + h_c  -> co2_c + lys__L_c 	AC5u0009GL001356	  0.00	1000.00	  0.00
